Length N,Basic,Advanced,
20,6,2,
20,6,2,
20,5,2,
20,4,2,
20,4,2,
20,4,2,
20,4,2,
20,4,7,
20,3,0,
30,3,,13
30,2,1,
30,3,1,
30,3,1,
30,2,1,
30,3,1,
30,8,1,
30,2,3,
30,2,1,
40,0,3,
40,1,3,
40,0,3,
40,0,5,
40,0,4,
40,0,3,
40,0,3,
40,0,3,
40,0,3,
50,1,5,
50,1,5,
50,0,5,
50,2,7,
50,2,6,
50,2,6,
50,1,8,
50,1,5,
50,1,5,
60,3,,36
60,2,4,
60,3,3,
60,2,3,
60,3,3,
60,3,,24
60,3,3,
60,3,6,
60,3,0,
70,7,2,
70,4,1,
70,4,1,
70,4,1,
70,5,1,
70,4,1,
70,4,1,
70,3,1,
70,3,1,
80,6,4,
80,6,3,
80,8,2,
80,6,2,
80,6,2,
80,8,1,
80,8,2,
80,17,2,
80,13,2,
90,10,3,
90,14,5,
90,11,3,
90,30,3,
90,20,2,
90,11,3,
90,26,5,
90,12,4,
90,10,5,
100,13,4,
100,13,4,
100,17,,58
100,23,,150
100,21,19,
100,22,9,
100,19,7,
100,14,5,
100,13,5,
