Matrix Dim n,Basic Multiplier,,,,,Average
300,425,418,446,486,405,436
350,648,616,641,644,609,631.6
400,979,941,968,1008,968,972.8
450,1434,1372,1408,1439,1418,1414.2
500,1969,2008,1917,1958,1914,1953.2
550,2807,2655,2715,2722,2686,2717
600,3520,3400,3533,3534,3440,3485.4
650,4622,4829,4545,4538,4635,4633.8
700,6621,6270,6255,6265,6340,6350.2
750,7487,7413,7465,7527,7529,7484.2
800,9349,8966,8924,9127,9112,9095.6
850,12595,11191,11121,11369,11249,11505
900,13446,13568,12810,13473,13709,13401.2
950,18359,17647,17202,18038,17348,17718.8
1000,23599,22411,32658,26374,21430,25294.4
